"Kategorie","Datensatz","Beschreibung","Link","offen"
"Stadtraum","Aufzüge und Rolltreppen an Haltestellen","Liste der Aufzüge und der Aufzugsstörungen BVG","<a target='_blank' href='https://www.vbb.de/vbb-services/api-open-data/aufzugsstoerungen-rss-feed/'>vbb.de</a>","Ja"
"Bildung, Kultur und Sport","Schulstandorte","Standortspezifische Daten wie Adresse, Anzahl von Schüler*innen, Anzahl von Lehrer*innen, Angebote, Informationen (z.B. Barrierefrei, Sprachen)","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=schulen@senstadt&bbox=364375,5802244,421588,5835290'>fbinter.stadt-berlin.de</a>","Ja"
"Stadtraum","Stadtmodell 3D","3D Geodaten zum Stadtplan","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=planin3d@senstadt&bbox=21903,19600,27097,22600'>fbinter.stadt-berlin.de</a>","Ja"
"Umwelt","Lärm","Lärmbelastung verschiedener Stadtteile","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=k09_01_1UGlaerm2012@senstadt&bbox=386493,5817703,397390,5823997'>fbinter.stadt-berlin.de</a>","Ja"
"Verkehr","Parkplätze","Standorte mit Bezeichnung der öffentlichen Parkplätze (PKW-, Motorrad-, Wohnmobil/Wohnwagen-, Busparkplätze und Behindertenparkplätze)","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=k_StraDa@senstadt&bbox=385435,5816882,385467,5816898'>fbinter.stadt-berlin.de</a>","Ja"
"Bevölkerung und Gesellschaft","Menschen mit Behinderung","Anzahl Menschen mit Behinderung nach Behinderungsgrad, Art der Behinderung, Geschlecht und Alter","<a target='_blank' href='https://www.statistik-berlin-brandenburg.de/menschen-mit-behinderung'>statistik-berlin-brandenburg.de</a>","Ja"
"Bildung, Kultur und Sport","Museen und kulturelle Einrichtungen","Standorte, Öffnungszeiten und Beschreibung aller kulturellen Einrichtungen","<a target='_blank' href='https://daten.berlin.de/datensaetze/standorte-gef%C3%B6rderter-kultureinrichtungen'>daten.berlin.de</a>","Ja"
"Stadtraum","Öffentliche Müllcontainer","Standorte von öffentlichen Müllcontainern und Art des Mülls (Altkleider, Glas, Altpapier, ...).","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=k_StraDa@senstadt&bbox=388225,5818256,394246,5821197'>fbinter.stadt-berlin.de</a>","Ja"
"Stadtraum","Fahrradstellplätze","Standorte alle Fahrradstellplätze","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=k_StraDa@senstadt&bbox=388225,5818256,394246,5821197'>fbinter.stadt-berlin.de</a>","Ja"
"Bildung, Kultur und Sport","Hochschulstatistik","Studierendenzahl nach Universtät und Studiengang","<a target='_blank' href='https://www.statistik-berlin-brandenburg.de/hochschulen'>statistik-berlin-brandenburg.de</a>","Ja"
"Bildung, Kultur und Sport","Schuleingangsuntersuchungen","Der Datensatz enthält Daten der Schuleingangsuntersuchungen und der Check-Untersuchungen auf LOR Ebene","<a target='_blank' href='http://www.gsi-berlin.info/gsi_suchen.asp?seite=2&CBFest=Kategorie,Bereich,Thema&kategorie=Gesundheitsdaten&bereich=Gesundheitszustand+der+Bev%F6lkerung&thema=Gesundheitszustand+von+Vorschulkindern'>gsi-berlin.info</a>","Ja"
"Bildung, Kultur und Sport","Schuleinzugsgebiete","Die Flächen der Gebiete oder eine Liste von den Adressen, die zu jeder Schule gehören","<a target='_blank' href='https://daten.berlin.de/search/node/einschulbereiche'>daten.berlin.de</a>","Ja"
"Regierung und öffentlicher Sektor","Wahlbezirke","Geodaten zu Wahlbezirken, Wahlkreisen und Wahllokalen","<a target='_blank' href='https://daten.berlin.de/search/node/Geometrien%20der%20Wahlbezirke'>daten.berlin.de</a>","Ja"
"Justiz, Rechtssystem und öffentliche Sicherheit","Fahrraddiebstähle","Angabe von genauen Standorten der Fahrraddiebstähle","<a target='_blank' href='https://www.kriminalitaetsatlas.berlin.de/K-Atlas/atlas.html'>kriminalitaetsatlas.berlin.de</a>","Ja"
"Stadtentwicklung und Wohnen","Bebauungspläne","Informationen zu Aufstellungsbeschlüssen, Fluchtlinienplänen und rechtskräftigen Bebauungsplänen","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=bplan@senstadt&bbox=387986,5818268,395306,5822381'>fbinter.stadt-berlin.de</a>","Ja"
"Stadtentwicklung und Wohnen","Flächennutzungen","Geodaten zur Flächennutzung nach Art der Nutzung (Wohnbaufläche, gewerbliche Baufläche, usw.)
","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=k06_01_1realnutz2015@senstadt&bbox=387963,5818256,394507,5821197'>fbinter.stadt-berlin.de</a>","Ja"
"Stadtentwicklung und Wohnen","Mietspiegel (Basisdaten)","Daten zu ortsüblichen Vergleichsmiete","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=k_wohnlagenadr2019@senstadt&bbox=391405,5820415,391887,5820651'>fbinter.stadt-berlin.de</a>","Ja"
"Bevölkerung und Gesellschaft","Lebensformen","Lebensformen (wie Ehepaar ohne Kinder, Alleinstehende, Alleinerziehnde mit Kinder, usw.), aufgeteilt in LOR, Stadtbezirke und die gesamte Stadt.","<a target='_blank' href='https://www.statistik-berlin-brandenburg.de/bevoelkerung/demografie/mikrozensus'>statistik-berlin-brandenburg.de</a>","Ja"
"Stadtentwicklung und Wohnen","Öffentliche Grünflächen und Spielplätze","Alle öffentliche Grünflächen (Spielplätze, Parkanlagen, Ausgleichsflächen, Wälder, Urban Gardening, Kleingärten) als Flächengeometrien.","<a target='_blank' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=gris_oeffgruen@senstadt&bbox=388178,5818184,395113,5822464'>fbinter.stadt-berlin.de</a>","Ja"
"Umwelt","Energieverbrauch","Energieverbrauch der Stadt, inklusive Angaben zu Heizung, Strom, Wasser","<a target='_blank' href='https://energieatlas.berlin.de'>energieatlas.berlin.de</a>","Ja"
"Umwelt","Grundwasser Monitoring","Ergebnisse der durchgeführten Grundwasseruntersuchungen","<a target='_blank' href='https://wasserportal.berlin.de/start.php'>wasserportal.berlin.de</a>","Ja"
"Verkehr","Messstellen Fahrräder","An den Dauerzählstellen werden alle Fahrräder, welche die Erfassungsquerschnitte der Zählstellen überfahren, gezählt. (Stundenwerte)","<a target='_blank' href='https://daten.berlin.de/datensaetze/radz%C3%A4hldaten-berlin'>daten.berlin.de</a>","Ja"
