,Kennung,Name,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018
341,09041301,Kietzer Feld/Nachtheide,0.95,0.98,1.12,0.87,0.84,0.97,1.07,1.03,1.23,1.33,1.23,1.49,1.49
342,09041302,Wendenschloß,null,null,null,null,null,null,null,null,null,null,null,0.59,0.58
343,09041401,Allende I,0.72,0.74,0.9,0.65,0.59,0.58,0.62,0.77,0.75,0.9,0.7,0.61,0.85
344,09041402,Allende II,2.65,2.93,1.56,1.27,1.83,2.33,1.33,1.64,null,1.37,2.17,1.9,2.47
345,09041501,Altstadt-Kietz,4.0,4.18,2.79,3.26,4.15,4.46,5.33,5.16,5.1,5.54,4.98,5.73,5.53
346,09041601,Müggelheim,0.75,0.69,0.68,0.64,0.64,0.91,0.6,0.59,0.52,0.75,0.67,0.83,0.82
347,09051701,Hirschgarten,1.47,1.6,1.46,1.24,1.27,1.59,1.63,1.82,1.84,1.63,1.32,1.34,1.24
348,09051702,Bölschestraße,0.89,1.06,1.17,0.9,0.97,1.03,1.16,1.18,1.09,1.02,0.93,0.78,0.87
349,09051801,Rahnsdorf/Hessenwinkel,0.5,0.7,0.63,0.79,0.7,0.8,0.74,0.9,0.71,0.86,0.72,1.06,0.84
350,09051901,Dammvorstadt,1.72,1.43,1.38,1.35,1.46,1.6,1.78,2.08,1.81,2.08,1.83,1.74,1.83
351,09052001,Köpenick-Nord,0.93,1.09,1.27,0.94,0.7,0.7,0.95,0.96,1.01,1.24,1.1,1.02,1.16
352,10010101,Marzahn-West,5.53,7.08,7.81,6.62,6.55,6.63,7.16,9.06,9.63,10.81,9.77,12.3,13.42
353,10010102,Havemannstr.,9.73,9.73,9.16,7.69,7.76,8.45,8.81,9.12,9.37,9.42,8.47,9.33,10.43
354,10010203,Gewerbegeb. Bitterfelder Str.,null,null,null,null,null,null,null,null,null,null,48.0,33.33,41.94
355,10010204,Wuhletalstr.,5.7,5.54,5.9,5.61,5.32,5.9,6.4,6.84,5.99,6.27,5.66,5.9,6.07
356,10010205,Marzahn-Ost,3.98,4.19,4.07,4.16,3.88,4.57,4.85,5.49,5.48,6.32,5.51,6.06,5.86
357,10010206,Ringkolonnaden,3.47,3.46,3.14,2.59,2.62,2.92,3.28,3.51,3.68,3.81,3.43,3.51,3.66
358,10010207,Marzahner Promenade,2.81,3.16,3.32,2.86,2.81,2.66,3.31,4.01,4.09,3.74,3.35,3.67,3.81
359,10010308,Marzahner Chaussee,null,null,0.78,null,null,1.24,1.46,1.43,1.12,1.11,1.13,0.66,1.28
360,10010309,Springpfuhl,2.17,2.34,2.33,1.89,1.96,2.04,2.47,2.85,2.85,2.98,2.73,2.93,2.96
361,10010310,Alt-Marzahn,2.08,2.11,1.96,1.85,1.77,2.11,2.24,2.42,2.45,2.68,2.3,2.43,2.5
362,10010311,Landsberger Tor,1.98,2.3,2.02,1.41,1.69,1.26,2.24,2.5,2.77,2.78,2.3,2.69,2.34
363,10020412,Alte Hellersdorfer Straße,7.16,6.14,7.41,6.51,6.13,6.3,6.85,7.97,8.02,8.56,10.1,10.32,11.25
364,10020413,Gut Hellersdorf,3.77,4.55,5.15,4.64,5.21,5.89,6.59,6.94,6.37,6.97,7.2,7.65,7.61
365,10020414,Helle Mitte,9.91,10.76,11.31,11.63,11.27,10.75,11.01,12.8,14.67,13.73,15.13,15.16,17.07
366,10020415,Hellersdorfer Promenade,4.7,4.82,5.73,5.32,5.39,6.25,6.18,7.07,6.0,7.61,7.34,8.36,8.76
367,10020416,Böhlener Str.,2.12,2.66,4.05,3.21,4.37,4.76,6.19,8.18,7.95,8.29,8.01,9.35,8.97
368,10020517,Adele-Sandrock-Str.,2.16,2.61,2.42,1.83,1.97,2.12,2.13,2.6,2.93,2.77,2.68,3.18,3.11
